epoch,value,metric,data
1,0.2860840382973353,loss,training
2,0.11663614251216253,loss,training
3,0.075503685161471365,loss,training
4,0.05411014158527056,loss,training
5,0.039985111583024265,loss,training
6,0.030920315568024912,loss,training
7,0.02270069377621015,loss,training
8,0.016955470451464255,loss,training
9,0.013618719685201843,loss,training
10,0.009675814186843733,loss,training
11,0.007700116773834452,loss,training
12,0.005744871294630381,loss,training
13,0.0044222599925512135,loss,training
14,0.0033019421786108674,loss,training
15,0.0026420851523289456,loss,training
16,0.0019019832403282635,loss,training
17,0.0015484032815681226,loss,training
18,0.0012406311735370158,loss,training
19,9.325821509555681e-4,loss,training
20,8.554922460801512e-4,loss,training
1,0.9176874756813049,acc,training
2,0.9663125276565552,acc,training
3,0.9778333306312561,acc,training
4,0.9836458563804626,acc,training
5,0.9883333444595337,acc,training
6,0.9907500147819519,acc,training
7,0.9936666488647461,acc,training
8,0.995229184627533,acc,training
9,0.9961249828338623,acc,training
10,0.9973333477973938,acc,training
11,0.9977083206176758,acc,training
12,0.9984375238418579,acc,training
13,0.9988124966621399,acc,training
14,0.9990624785423279,acc,training
15,0.9992083311080933,acc,training
16,0.9995625019073486,acc,training
17,0.999666690826416,acc,training
18,0.9996041655540466,acc,training
19,0.9997708201408386,acc,training
20,0.9998541474342346,acc,training
1,0.14717512917518616,loss,validation
2,0.10704020326336225,loss,validation
3,0.0895133302907149,loss,validation
4,0.09281863662600517,loss,validation
5,0.0877219179670016,loss,validation
6,0.0907004594852527,loss,validation
7,0.0831942624549071,loss,validation
8,0.08057309807340304,loss,validation
9,0.08702846804012855,loss,validation
10,0.09512077978253365,loss,validation
11,0.09454608573267857,loss,validation
12,0.10263877721875905,loss,validation
13,0.10103696813744803,loss,validation
14,0.10170678862929344,loss,validation
15,0.10490448373059431,loss,validation
16,0.10588301634167631,loss,validation
17,0.10479480788391084,loss,validation
18,0.118772491859893,loss,validation
19,0.12058543840419346,loss,validation
20,0.1251059379267196,loss,validation
1,0.9583333134651184,acc,validation
2,0.9691666960716248,acc,validation
3,0.9728333353996277,acc,validation
4,0.971833348274231,acc,validation
5,0.9752500057220459,acc,validation
6,0.9756666421890259,acc,validation
7,0.9783333539962769,acc,validation
8,0.9793333411216736,acc,validation
9,0.9782500267028809,acc,validation
10,0.9772499799728394,acc,validation
11,0.9794166684150696,acc,validation
12,0.9767500162124634,acc,validation
13,0.9788333177566528,acc,validation
14,0.9800000190734863,acc,validation
15,0.9791666865348816,acc,validation
16,0.9789999723434448,acc,validation
17,0.9805833101272583,acc,validation
18,0.9800833463668823,acc,validation
19,0.9803333282470703,acc,validation
20,0.9790833592414856,acc,validation
